"ナビゲート","呼び出し階層を開く","⌃⌥H","C/C++ ビュー内"
"ウィンドウ","アクティブ・ビューまたはエディターの最大化","⌃M","ウィンドウ"
"実行/デバッグ","メモリー・ブロックを追加します","⌥⌘M","メモリー・ビュー内"
"ソース","コメントの切り替え","⇧⌘C","Java ソースの編集"
"ファイル","プロパティー","⌥↩","ウィンドウ"
"ウィンドウ","エディターをアクティブにする","⌘F12","ウィンドウ"
"リファクタリング - JavaScript","リファクタリング・クイック・メニューの表示","⌥⌘T","JavaScript ビュー"
"リファクタリング - JavaScript","関数の抽出","⌥⌘M","JavaScript ビュー"
"編集","Restore Last C/C++ Selection","⇧⌃↓","C/C++ エディター"
"実行/デバッグ","ブレークポイントの切り替え","⇧⌘B","ウィンドウ"
"ソース","インポートの編成","⇧⌘O","JavaScript ビュー"
"C/C++ ソース","要素を開く","⇧⌘T","C/C++ エディター"
"ナビゲート","前の未読タスクへジャンプ","⌥↑","タスク・ビュー"
"ナビゲート","パンくずリストで表示","⌥⌘B","Java ソースの編集"
"ナビゲート","前ページ","⇧⌥F7","ウィンドウ"
"C/C++ ソース","次のメンバーへジャンプ","⇧⌘↓","C/C++ エディター"
"ナビゲート","型階層を開く","F4","C/C++ エディター"
"編集","クイック Diff 切り替え","⇧⌃Q","テキストの編集"
"ナビゲート","リソースを開く","⇧⌘R","ウィンドウ"
"ソース","ブロック・コメントの追加","⌃⌘/","Java ソースの編集"
"編集","コンテキスト情報","⇧⌃Space","ダイアログまたはウィンドウ"
"リファクタリング - JavaScript","名前変更 - リファクタリング ","⌥⌘R","JavaScript ビュー"
"Android Refactorings","Extract Android String","⇧⌥A S","ウィンドウ"
"実行/デバッグ","EOF","⌃D","I/O コンソール"
"C/C++ ソース","アウトラインの表示","⌘O","C/C++ エディター"
"編集","前の要素を選択","⇧⌃←","Java ソースの編集"
"C/C++ ソース","戻る","⌥←","マクロ拡張ホバー"
"テキスト編集","テキストの末尾まで選択","⇧↘","テキストの編集"
"ソース","ソース・クイック・メニューを表示","⌥⌘S","ウィンドウ"
"ソース","コメントの切り替え","⌘7","JavaScript ソースの編集中"
"Web ページ・エディター・レイアウト","ソース・コード","⇧⌘F12","Web ページ・エディターの使用"
"実行/デバッグ","Ant ビルドの実行","⌥⌘X Q","ウィンドウ"
"タスク・リポジトリー","新規サブタスク","⇧Insert","タスク・ビュー"
"データベース・ツール","すべて実行","⌥⌘X","SQL の編集"
"編集","前の兄弟","⇧⌘↑","構造化テキスト・エディターで編集"
"C/C++ ソース","マクロ拡張の探索","⌘#","C/C++ エディター"
"編集","次を検索","⌘K","テキストの編集"
"ナビゲート","クイック階層","⌘T","JavaScript ソースの編集中"
"ビュー","ビューの表示 (問題)","⌥⌘Q X","ウィンドウ"
"実行/デバッグ","アドレスにジャンプ...","⌘G","In Disassembly"
"C/C++ ソース","出現箇所のマークのトグル","⌥⌘O","C/C++ エディター"
"テキスト編集","すべて縮小表示","⇧⌘Numpad_Divide","テキストの編集"
"C/C++ ソース","対応する大括弧にジャンプ","⇧⌘P","C/C++ エディター"
"編集","ブロック・コメントの除去","⌘\","構造化テキスト・エディターで編集"
"Web ページ・エディター・レイアウト","垂直レイアウト","⇧⌘F9","Web ページ・エディターの使用"
"ナビゲート","タスクを開く","⌥⌘F12","ウィンドウ"
"編集","前を検索","⇧⌘K","テキストの編集"
"ナビゲート","前へ","⇧⌘.","ウィンドウ"
"リファクタリング - C++","ローカル変数の抽出 - リファクタリング ","⌥⌘L","C/C++ エディター"
"編集","前回の選択を復元","⇧⌃↓","XML ソースの編集"
"ソース","コメントの切り替え","⌘7","Java ソースの編集"
"ASA 9.x table schema editor","切り取り","⌥X","ウィンドウ"
"テキスト編集","行の末尾まで削除","⇧⌘⌦","テキストの編集"
"リファクタリング - JavaScript","関数シグニチャーの変更","⌥⌘C","JavaScript ビュー"
"タスク・リポジトリー","タスクを既読としてマークし、次の未読タスクへジャンプ","⇧⌥↓","タスク・ビュー"
"実行/デバッグ","JUnit プラグイン・テストのデバッグ","⌃⌥⌘D P","ウィンドウ"
"ナビゲート","外部 JSDoc を開く","⇧F2","JavaScript ビュー"
"テキスト編集","1 行上へ移動","⌥↑","テキストの編集"
"ファイル","プロパティー","⌘I","ウィンドウ"
"編集","名前変更","⇧⌥R","JSP ソースの編集"
"テキスト編集","行の末尾まで選択","⇧⌘→","テキストの編集"
"ウィンドウ","前のパースペクティブ","⇧⌘F8","ウィンドウ"
"ファイル","閉じる","⌘W","ウィンドウ"
"ビュー","ビューの表示","⌥⌘Q Q","ウィンドウ"
"ソース","ブロック・コメントの除去","⇧⌘\","Java ソースの編集"
"リファクタリング - C++","名前変更 - リファクタリング ","⌥⌘R","C/C++ ビュー内"
"ビュー","ビューの表示 (宣言)","⌥⌘Q D","ウィンドウ"
"ビュー","ドキュメンテーション","⌥⌘Q J","JavaScript ビュー"
"ビュー","ビューの表示 (パッケージ・エクスプローラー)","⌥⌘Q P","ウィンドウ"
"ビュー","ズームイン","⌘+","ウィンドウ"
"ターミナル・ビュー・コマンド","ターミナル・ビュー挿入","⌥T","ターミナル・ウィジェット・コンテキスト"
"ナビゲート","ヒストリーを進む","⌥⌘→","ウィンドウ"
"リファクタリング - JavaScript","インライン化","⌥⌘I","JavaScript ビュー"
"ビュー","JavaScript 型階層","⌥⌘Q T","JavaScript ビュー"
"ナビゲート","表示...","⌥⌘W","ウィンドウ"
"C/C++ ソース","宣言","⌘G","C/C++ エディター"
"ターミナル・ビュー・コマンド","ターミナル・ビュー挿入","⌥F","ターミナル・ウィジェット・コンテキスト"
"編集","ブロック・コメントの追加","⇧⌘/","構造化テキスト・エディターで編集"
"リファクタリング - C++","定数の抽出 - リファクタリング ","⌥C","C/C++ エディター"
"ナビゲート","タスクの非アクティブ化","⇧⌘F9","ウィンドウ"
"ナビゲート","マニフェストを開く","⇧⌥⌘M","ウィンドウ"
"C/C++ ソース","行のインデント","⌘I","C/C++ エディター"
"リファクタリング - Java","名前変更 - リファクタリング ","⌥⌘R","ウィンドウ"
"ナビゲート","クイック・アウトライン","⌘O","構造化テキスト・エディターで編集"
"SQL の結果ビュー","結果の除去","⌘⌦","ウィンドウ"
"ソース","行のインデント","⌘I","JavaScript ソースの編集中"
"編集","やり直し","⇧⌘Z","ダイアログまたはウィンドウ"
"編集","フォーマット","⇧⌘F","構造化テキスト・エディターで編集"
"実行/デバッグ","ステップ・オーバー","F6","デバッグ"
"ナビゲート","前ページ","⇧⌘F5","In Faces Config Editor"
"ソース","コメントの切り替え","⌘/","JavaScript ソースの編集中"
"ウィンドウ","設定","F10","ウィンドウ"
"編集","コピー","⌘C","ダイアログまたはウィンドウ"
"ビュー","ビューの表示 (ヒストリー)","⌥⌘Q Z","ウィンドウ"
"リファクタリング - C++","Toggle Function - リファクタリング ","⌥⌘T","C/C++ エディター"
"ビュー","ビューの表示 (虎の巻)","⌥⌘Q H","ウィンドウ"
"データベース・ツール","デバッグ","⌥⌘D","SQL の編集"
"テキスト編集","テキストの末尾","⌘↘","テキストの編集"
"カテゴリーなし","Add Artifact to Target Platform","⇧⌥⌘A","ウィンドウ"
"編集","一致するタグ","⇧⌘>","構造化テキスト・エディターで編集"
"ナビゲート","ヒストリーを進む","⌘]","ウィンドウ"
"ナビゲート","階層で型を開く","⇧⌘H","C/C++ エディター"
"ターミナル・ビュー・コマンド","ターミナル・ビュー挿入","⌥V","ターミナル・ウィジェット・コンテキスト"
"C/C++ ソース","前のメンバーへジャンプ","⇧⌘↑","C/C++ エディター"
"編集","ブロック・コメントの追加","⌘/","構造化テキスト・エディターで編集"
"Reverse Debugging Commands","Reverse Step Into","⇧F5","C/C++ のデバッグ"
"ナビゲート","クイック・アウトライン","⌘O","JavaScript ソースの編集中"
"ソース","出現箇所のマークのトグル","⌥⌘O","JavaScript ソースの編集中"
"実行/デバッグ","次のメモリー・ページ","⇧⌘.","テーブル・メモリー・レンダリング内"
"ビュー","ズームアウト","⌘-","ウィンドウ"
"実行/デバッグ","新規レンダリング","⌘N","メモリー・ビュー内"
"テキスト編集","折りたたみの切り替え","⌘Numpad_Divide","テキストの編集"
"編集","削除","⌦","ウィンドウ"
"C/C++ ソース","マクロ拡張の探索","⌘=","C/C++ エディター"
"サーバー","停止","⌥⌘S","サーバー・ビュー"
"編集","前の要素を選択","⇧⌃←","JavaScript ソースの編集中"
"編集","一致するタグ","⇧⌃.","構造化テキスト・エディターで編集"
"編集","次の要素を選択","⇧⌃→","構造化テキスト・エディターで編集"
"C/C++ ソース","参照","⇧⌘G","C/C++ エディター"
"ソース","コメントの切り替え","⌘/","プロパティー・ファイルの編集中"
"編集","すべて選択","⌘A","ダイアログまたはウィンドウ"
"編集","移動","⇧⌥V","JSP ソースの編集"
"実行/デバッグ","すべてのインスタンス","⇧⌘N","ウィンドウ"
"ソース","コメントの切り替え","⇧⌘C","プロパティー・ファイルの編集中"
"ナビゲート","指定行へジャンプ","⌘L","テキストの編集"
"C/C++ ソース","Sort Lines","⌃⌘S","C/C++ エディター"
"実行/デバッグ","Java アプレットの実行","⌥⌘X A","ウィンドウ"
"ファイル","名前変更","F2","ウィンドウ"
"ナビゲート","すべて縮小表示","⇧⌘Numpad_Divide","ウィンドウ"
"リファクタリング - JavaScript","ローカル変数の抽出","⌥⌘L","JavaScript ビュー"
"ビュー","ビューの表示 (同期化)","⌥⌘Q Y","ウィンドウ"
"検索","ワークスペース内の参照","⇧⌘G","ウィンドウ"
"編集","前回の選択を復元","⇧⌥↓","構造化テキスト・エディターで編集"
"Git","コミット...","⌘#","ウィンドウ"
"ウィンドウ","「システム・メニュー」を表示","⇧⌘F10","ウィンドウ"
"ナビゲート","型を開く","⇧⌘T","ウィンドウ"
"データベース・ツール","SQL クエリー・ビルダーで編集...","⌥Q","SQL の編集"
"検索","ワークスペース内の参照","⇧⌘G","JavaScript ビュー"
"JavaScript デバッグ","評価","⇧⌥E","JavaScript ソースの編集中"
"タスク・リポジトリー","タスクを既読としてマーク","⇧⌥R","タスク・ビュー"
"ファイル","すべて保管","⇧⌘S","ウィンドウ"
"サーバー","デバッグ","⌥⌘D","サーバー・ビュー"
"ナビゲート","前のサブ・タブ","⌥⇞","ダイアログまたはウィンドウ"
"ウィンドウ","次のビュー","⌘F7","ウィンドウ"
"編集","エンクロージング要素の選択","⇧⌃↑","Java ソースの編集"
"編集","貼り付け","⌘V","ダイアログまたはウィンドウ"
"リファクタリング - Java","リファクタリング・クイック・メニューの表示","⌥⌘T","ウィンドウ"
"ASA 9.x table schema editor","貼り付け","⌥V","ウィンドウ"
"編集","ブロック・コメントの除去","⇧⌘\","構造化テキスト・エディターで編集"
"実行/デバッグ","指定行まで実行","⌘R","デバッグ"
"実行/デバッグ","レンダリングを閉じる","⌘W","メモリー・ビュー内"
"SQL の結果ビュー","表示されている結果をすべて除去","⇧⌦","ウィンドウ"
"カテゴリーなし","コピー","⌘C","In Git Reflog View"
"タスク・リポジトリー","タスクを未読としてマーク","⇧⌥U","タスク・ビュー"
"ビュー","ビューの表示 (タスク・リスト)","⌥⌘Q K","ウィンドウ"
"編集","ブロック選択の切り替え","⌥⌘A","テキストの編集"
"実行/デバッグ","Java アプリケーションのデバッグ","⌃⌥⌘D J","ウィンドウ"
"ナビゲート","前ページ","⇧⌘F5","Web ページ・エディターの使用"
"編集","左へシフト","⇧Tab","C/C++ エディター"
"ソース","インポートの編成","⇧⌘O","ウィンドウ"
"タスク・リポジトリー","タスクを未読としてマーク","⇧⌥U","タスク・エディター"
"ナビゲート","階層で型を開く","⇧⌘H","C/C++ ビュー内"
"実行/デバッグ","ステップ・フィルターを使用する","⇧F5","ウィンドウ"
"ソース","インポートの追加","⇧⌘M","JavaScript ソースの編集中"
"ナビゲート","クイック・アウトライン","⌘O","PDE エディター"
"ビュー","ビューの表示 (Javadoc)","⌥⌘Q J","ウィンドウ"
"編集","次の要素を選択","⇧⌃→","JavaScript ソースの編集中"
"ソース","ブロック・コメントの除去","⇧⌘\","JavaScript ソースの編集中"
"ビュー","ビューの表示 (変数)","⌥⌘Q V","ウィンドウ"
"編集","エンクロージング要素の選択","⇧⌥↑","構造化テキスト・エディターで編集"
"データベース・ツール","選択したテキストを実行","⌥X","SQL の編集"
"編集","前回の選択を復元","⇧⌃↓","JavaScript ソースの編集中"
"ウィンドウ","Show Context Menu","⇧F10","ダイアログまたはウィンドウ"
"ソース","ファイル内の名前変更","⌥⌘R","Ant ビルド・ファイルの編集"
"ナビゲート","Matching Character","⇧⌘P","構造化テキスト・エディターで編集"
"実行/デバッグ","Ant ビルドのデバッグ","⌃⌥⌘D Q","ウィンドウ"
"実行/デバッグ","インスペクション","⇧⌘I","ダイアログまたはウィンドウ"
"検索","「検索」ダイアログを開く","⌃H","ウィンドウ"
"テキスト編集","ツールチップ説明の表示","F2","テキストの編集"
"リファクタリング - Java","移動 - リファクタリング ","⌥⌘V","ウィンドウ"
"リファクタリング - JavaScript","移動 - リファクタリング ","⌥⌘V","JavaScript ビュー"
"編集","Select Enclosing C/C++ Element","⇧⌃↑","C/C++ エディター"
"編集","次の要素を選択","⇧⌃→","Java ソースの編集"
"テキスト編集","1 行下へ移動","⌥↓","テキストの編集"
"C/C++ ソース","ブロック・コメントの追加","⇧⌘/","C/C++ エディター"
"ナビゲート","構造を開く","⌘F3","Java ソースの編集"
"ソース","「囲む」クイック・メニュー","⌥⌘Z","ウィンドウ"
"Makefile ソース","コメント","⌃/","Makefile エディター"
"実行/デバッグ","強制リターン","⌥⌘F","ウィンドウ"
"C/C++ ソース","要素を開く","⇧⌘T","C/C++ ビュー内"
"フォーカス UI","関心ありにする","⇧⌥⌘↓","ウィンドウ"
"実行/デバッグ","再開","F8","デバッグ"
"C/C++ ソース","フォーマット","⇧⌘F","C/C++ エディター"
"編集","挿入モードの切り替え","⇧⌘Insert","テキストの編集"
"テキスト編集","テキストの先頭","↖","テキストの編集"
"検索","ワークスペース内の宣言","⌘G","ウィンドウ"
"実行/デバッグ","デバッグ","⌘F11","ウィンドウ"
"編集","アクティブ要素のフォーマット","⌘I","構造化テキスト・エディターで編集"
"ファイル","すべて閉じる","⇧⌘W","ウィンドウ"
"C/C++ ソース","コメント/コメント解除","⌘/","C/C++ エディター"
"ナビゲート","型を開く","⇧⌘T","JavaScript ソースの編集中"
"編集","Select Next C/C++ Element","⇧⌃→","C/C++ エディター"
"実行/デバッグ","Run Android Application","⇧⌥A R","ウィンドウ"
"C/C++ ソース","宣言を開く","F3","C/C++ ビュー内"
"ASA 9.x table schema editor","コピー","⌥C","ウィンドウ"
"ナビゲート","プラグイン・アーティファクトを開く","⇧⌘A","ウィンドウ"
"Reverse Debugging Commands","Reverse Resume","⇧F8","C/C++ のデバッグ"
"サーバー","実行","⌥⌘R","サーバー・ビュー"
"編集","前回の選択を復元","⇧⌃↓","Java ソースの編集"
"実行/デバッグ","Go to Program Counter","↖","In Disassembly"
"テキスト編集","行の末尾","⌘→","テキストの編集"
"C/C++ ソース","宣言を開く","F3","C/C++ エディター"
"編集","逆インクリメンタル検索","⇧⌘J","テキストの編集"
"ターミナル・ビュー・コマンド","ターミナル・ビュー挿入","⌥R","ターミナル・ウィジェット・コンテキスト"
"ナビゲート","呼び出し階層を開く","⌃⌥H","JavaScript ビュー"
"タスク・リポジトリー","新規ローカル・タスク","⌥N","タスク・ビュー"
"ウィンドウ","提供プラグインの表示","⇧⌥F3","ダイアログまたはウィンドウ"
"編集","エンクロージング要素の選択","⇧⌃↑","JavaScript ソースの編集中"
"編集","次の兄弟","⇧⌃↓","構造化テキスト・エディターで編集"
"ナビゲート","タスクをアクティブにする","⌘F9","ウィンドウ"
"ソース","出現箇所の注釈の除去","⌥⌘U","Java ソースの編集"
"テキスト編集","現在行の上に行を挿入","⇧⌘↩","テキストの編集"
"実行/デバッグ","表示","⇧⌘D","ダイアログまたはウィンドウ"
"テキスト編集","現在行の下に行を挿入","⇧↩","テキストの編集"
"ナビゲート","クイック・アウトライン","⇧⌘O","Task Markup Editor Source Context"
"Makefile ソース","コメント解除","⌃\","Makefile エディター"
"データベース・ツール","一致するトークンにジャンプ","⇧⌘P","SQL の編集"
"ターミナル・ビュー・コマンド","ターミナル・ビュー挿入","⌥H","ターミナル・ウィジェット・コンテキスト"
"タスク・リポジトリー","選択したタスクを開く","⌘↩","タスク・ビュー"
"タスク・リポジトリー","タスクを既読としてマーク","⇧⌥R","タスク・エディター"
"ナビゲート","次のメンバーへジャンプ","⌃⌥↓","Java ソースの編集"
"タスク・リポジトリー","ツールチップ説明の表示","F4","タスク・ビュー"
"ソース","フォーマット","⇧⌘F","Ant ビルド・ファイルの編集"
"ナビゲート","ヒストリーを戻る","⌘[","ウィンドウ"
"ターミナル・ビュー・コマンド","ターミナル・ビュー挿入","⌥N","ターミナル・ウィジェット・コンテキスト"
"編集","コメントの切り替え","⇧⌘C","構造化テキスト・エディターで編集"
"ナビゲート","対応する大括弧にジャンプ","⇧⌘P","Java ソースの編集"
"ウィンドウ","ルーラー・コンテキスト・メニューの表示","⌘F10","テキストの編集"
"編集","コンテンツ・アシスト","⌃Space","ダイアログまたはウィンドウ"
"実行/デバッグ","Java アプリケーションの実行","⌥⌘X J","ウィンドウ"
"実行/デバッグ","アドレスにジャンプ","⌘G","テーブル・メモリー・レンダリング内"
"テキスト編集","行の先頭まで選択","⇧⌃A","テキストの編集"
"ウィンドウ","クイック・アクセス","⌘3","ウィンドウ"
"ナビゲート","パンくずリストで表示","⌥⌘B","エディター・パンくずリスト・ナビゲーション"
"ウィンドウ","次のエディター","⌘F6","ウィンドウ"
"実行/デバッグ","Debug Android Application","⇧⌥A D","ウィンドウ"
"C/C++ ソース","Include の追加","⇧⌘N","C/C++ エディター"
"ナビゲート","次のメンバーへジャンプ","⌃⌥↓","JavaScript ソースの編集中"
"テキスト編集","テキストの先頭","⌘↖","テキストの編集"
"ナビゲート","呼び出し階層を開く","⌃⌥H","C/C++ エディター"
"C/C++ ソース","進む","⌥→","マクロ拡張ホバー"
"ナビゲート","添付された Javadoc を開く","⇧F2","ウィンドウ"
